ID	Titles
2314	042913-SludgeD1_13-18, Cmpd 27915, +MSn(654.6826), 63.76 min;042913-SludgeD1_1-6, Cmpd 26607, +MSn(654.6797), 64.10 min;042913-SludgeD1_1-6, Cmpd 26544, +MSn(654.6798), 63.93 min
2346	042913-SludgeD1_25-30, Cmpd 7400, +MSn(498.903), 18.00 min
2349	042913-SludgeD1_19-24, Cmpd 26931, +MSn(561.3518), 60.36 min
2363	042913-SludgeD1_19-24, Cmpd 9629, +MSn(518.2574), 22.29 min
2381	042913-SludgeD1_19-24, Cmpd 11567, +MSn(548.2663), 25.78 min
2413	042913-SludgeD1_13-18, Cmpd 9434, +MSn(402.2127), 22.00 min
2443	042913-SludgeD1_25-30, Cmpd 10040, +MSn(427.5426), 22.67 min
2453	042913-SludgeD1_19-24, Cmpd 15803, +MSn(526.9432), 33.52 min
2457	042913-SludgeD1_13-18, Cmpd 11008, +MSn(569.5825), 24.93 min
2487	042913-SludgeD1_25-30, Cmpd 21798, +MSn(497.6208), 46.60 min
2504	042913-SludgeD1_13-18, Cmpd 23316, +MSn(635.3224), 52.25 min
2513	042913-SludgeD1_19-24, Cmpd 12163, +MSn(542.9332), 26.84 min
2526	042913-SludgeD1_19-24, Cmpd 16794, +MSn(500.945), 35.34 min
2550	042913-SludgeD1_19-24, Cmpd 9656, +MSn(449.571), 22.33 min
2562	042913-SludgeD1_13-18, Cmpd 12849, +MSn(462.5793), 28.51 min
2565	042913-SludgeD1_13-18, Cmpd 14696, +MSn(498.891), 32.04 min
2573	042913-SludgeD1_19-24, Cmpd 21514, +MSn(597.6343), 46.55 min
2578	042913-SludgeD1_13-18, Cmpd 14797, +MSn(498.8924), 32.22 min
2609	042913-SludgeD1_1-6, Cmpd 6286, +MSn(596.9738), 17.06 min;042913-SludgeD1_1-6, Cmpd 6213, +MSn(596.9743), 16.88 min
2611	042913-SludgeD1_19-24, Cmpd 13352, +MSn(460.9082), 29.05 min
2663	042913-SludgeD1_1-6, Cmpd 14099, +MSn(596.3258), 33.61 min
2665	042913-SludgeD1_25-30, Cmpd 6428, +MSn(435.5467), 16.00 min
2712	042913-SludgeD1_13-18, Cmpd 25705, +MSn(491.2996), 58.20 min
2733	042913-SludgeD1_19-24, Cmpd 7907, +MSn(546.5893), 19.12 min
2736	042913-SludgeD1_19-24, Cmpd 9164, +MSn(468.2441), 21.46 min
2749	042913-SludgeD1_19-24, Cmpd 17456, +MSn(422.59), 36.63 min;042913-SludgeD1_19-24, Cmpd 17602, +MSn(422.593), 36.94 min
2752	042913-SludgeD1_19-24, Cmpd 9514, +MSn(420.546), 22.09 min
2782	042913-SludgeD1_13-18, Cmpd 27960, +MSn(483.6458), 63.89 min
2784	042913-SludgeD1_1-6, Cmpd 7836, +MSn(405.9044), 20.72 min
2788	042913-SludgeD1_13-18, Cmpd 10426, +MSn(483.8741), 23.88 min
2826	042913-SludgeD1_25-30, Cmpd 5831, +MSn(426.2173), 14.51 min
2873	042913-SludgeD1_25-30, Cmpd 8452, +MSn(430.2157), 19.92 min
2892	042913-SludgeD1_19-24, Cmpd 18240, +MSn(474.9145), 38.28 min
2896	042913-SludgeD1_19-24, Cmpd 11162, +MSn(566.5813), 25.08 min
2908	042913-SludgeD1_13-18, Cmpd 7266, +MSn(446.8833), 17.83 min
2911	042913-SludgeD1_13-18, Cmpd 12426, +MSn(518.5987), 27.66 min
2913	042913-SludgeD1_25-30, Cmpd 14812, +MSn(604.6342), 31.40 min
2935	042913-SludgeD1_25-30, Cmpd 6449, +MSn(409.542), 16.05 min
2956	042913-SludgeD1_13-18, Cmpd 21171, +MSn(642.3357), 46.77 min;042913-SludgeD1_25-30, Cmpd 22022, +MSn(642.331), 47.18 min;042913-SludgeD1_19-24, Cmpd 21739, +MSn(642.3328), 47.13 min;042913-SludgeD1_13-18, Cmpd 21592, +MSn(642.3322), 47.81 min;042913-SludgeD1_13-18, Cmpd 21327, +MSn(642.3323), 47.15 min;042913-SludgeD1_13-18, Cmpd 21255, +MSn(642.3331), 46.98 min;042913-SludgeD1_13-18, Cmpd 21406, +MSn(642.3325), 47.34 min;042913-SludgeD1_19-24, Cmpd 21811, +MSn(642.33), 47.31 min;042913-SludgeD1_13-18, Cmpd 21505, +MSn(642.3331), 47.59 min;042913-SludgeD1_25-30, Cmpd 22094, +MSn(642.33), 47.35 min;042913-SludgeD1_13-18, Cmpd 21681, +MSn(642.34), 48.04 min;042913-SludgeD1_19-24, Cmpd 21896, +MSn(642.33), 47.52 min
3009	042913-SludgeD1_1-6, Cmpd 15215, +MSn(464.231), 36.06 min
